round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,section,candidate_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,signed_error,batch_id,viability_percent,intact_patch_formation_pass
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6fb2fa9dc5d5,49.370000000000005,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_724742f4ebc1,12.6675,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_7371aa062562,50.095,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_a1a1ae0b19bb,13.4975,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_acaa3c7de271,21.485,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_adfd2284b7fb,8.127500000000001,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_c0858ec7c2c6,24.2275,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d880ac9c9187,21.47,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_e579d58c9088,13.4225,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,observed_viability,median_iqr,,21.4775,13.23375,49.090625,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,prospective_performance,mae,,22.18776496960027,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,prospective_performance,bias,,20.43958094525095,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.6666666666666666,,,,,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,1.0,0.7574992425007574,1.0,12.0,0.0,timeline,,,,,,,,,,,,,,,
ROUND_007,7.0,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_00d4dc35ee8a,4.4799999999999995,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_0c1889c524b0,24.25,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_16ebd2e14898,41.41,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_2c468d77758b,18.295,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_445849cbfa02,23.5725,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_4b9990641d38,12.9175,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6f20e63adb1d,26.3825,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_949b1b9d7a24,9.4125,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_b2a7d8453992,31.5375,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_c29d85c403ed,2.9275,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_cfd8fbca69e1,33.555,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d2de523913b8,16.355,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,observed_viability,median_iqr,,20.933750000000003,12.04125,27.67125,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,prospective_performance,mae,,34.91601052214724,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,prospective_performance,bias,,32.825136890212086,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.4166666666666667,,,,,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,1.0,0.7574992425007574,1.0,12.0,0.0,timeline,,,,,,,,,,,,,,,
ROUND_008,8.0,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,timeline,,,,,,,,,,,,,,,
ROUND_009,9.0,unrecorded,current_proposal,prospective_performance,mae,,,,,,,timeline,,,,,,,,,,,,,,,
ROUND_009,9.0,unrecorded,current_proposal,prospective_performance,bias,,,,,,,timeline,,,,,,,,,,,,,,,
ROUND_009,9.0,unrecorded,current_proposal,prospective_performance,interval_95_coverage,,,,,,,timeline,,,,,,,,,,,,,,,
ROUND_009,9.0,unrecorded,current_proposal,feasibility_mechanics,intact_pass_proportion,,,,,0.0,0.0,timeline,,,,,,,,,,,,,,,
ROUND_009,9.0,unrecorded,current_proposal,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,timeline,,,,,,,,,,,,,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,retest_v2_75d69addc009,29.24575715487311,34.5,0.9991394709236764,5.254242845126889,,,3.9166267260208114,,,,-5.254242845126889,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,rescue_000002,59.625548284101335,65.0,9.520940751078903,5.374451715898665,,,37.3220877442293,,,,-5.374451715898665,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_001256,58.724742992940016,29.0,24.187978918531524,29.724742992940016,,,94.81687736064357,,,,29.724742992940016,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_000026,62.813166233359446,44.5,21.785070096186512,18.313166233359446,,,85.39747477705113,,,,18.313166233359446,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_000143,59.81772975597263,48.5,23.352298676726456,11.317729755972628,,,91.54101081276771,,,,11.317729755972628,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_000293,71.820753280291,53.0,10.925520512478291,18.820753280291,,,42.8280404089149,,,,18.820753280291,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_000510,58.720808487471544,41.0,24.187978822516087,17.720808487471544,,,94.81687698426306,,,,17.720808487471544,,,
